Max,Min,Offer,Rate
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
0.43,0.27,0.012,0.008
